userid,movieid,count,time,tmdb_id,popularity,vote_average,flag
275997,interstellar+2014,2,2022-11-14T12:23:45,157336,32.213481,8.1,0
359497,the+princess+and+the+frog+2009,2,2022-11-14T12:23:27,10198,16.616517,6.7,0
70776,blue+velvet+1986,2,2022-11-14T12:24:31,793,7.882247,7.7,0
366007,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,2,2022-11-14T12:24:51,120,32.070725,8.0,0
478141,the+red+shoes+1948,1,2022-11-14T12:23:16,19542,10.44551,8.2,0
474511,jesse+stone+stone+cold+2005,2,2022-11-14T12:23:16,31046,3.557141,6.5,0
169851,star+wars+1977,2,2022-11-14T12:24:14,11,42.149697,8.1,0
80356,star+wars+1977,1,2022-11-14T12:24:11,11,42.149697,8.1,0
271428,the+century+of+the+self+2002,2,2022-11-14T12:24:45,51452,0.998672,8.3,0
290347,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,2,2022-11-14T12:24:22,120,32.070725,8.0,0
514806,chinese+box+1997,2,2022-11-14T12:24:30,30265,1.543766,5.8,0
343354,interstellar+2014,2,2022-11-14T12:24:15,157336,32.213481,8.1,0
193881,apollo+13+1995,2,2022-11-14T12:23:28,568,18.761467,7.3,0
253787,2001+a+space+odyssey+1968,1,2022-11-14T12:24:01,62,22.494622,7.9,0
423398,interstellar+2014,1,2022-11-14T12:23:58,157336,32.213481,8.1,0
691917,monty+python+and+the+holy+grail+1975,2,2022-11-14T12:23:21,762,10.43389,7.8,0
579466,eight+below+2006,2,2022-11-14T12:24:20,9036,13.876881,6.7,0
445830,broken+arrow+1996,2,2022-11-14T12:24:18,9208,14.957626,5.7,0
389212,the+amazing+spider-man+2012,2,2022-11-14T12:23:40,1930,31.102267,6.5,0
159253,blade+runner+1982,2,2022-11-14T12:23:12,78,96.272374,7.9,0
174560,the+grandmaster+2013,2,2022-11-14T12:24:21,44865,8.959821,6.3,0
499529,gladiator+1992+1992,2,2022-11-14T12:24:22,16219,2.660772,5.7,0
254419,rumble+on+the+docks+1956,2,2022-11-14T12:23:21,106042,0.633906,0.0,0
226317,maleficent+2014,2,2022-11-14T12:23:24,102651,19.467404,7.0,0
240622,fight+club+1999,2,2022-11-14T12:23:20,550,63.869599,8.3,0
562594,the+eiger+sanction+1975,2,2022-11-14T12:24:32,20187,5.47591,6.2,0
224568,princess+mononoke+1997,2,2022-11-14T12:24:17,128,17.166725,8.2,0
297305,escape+from+alcatraz+1979,2,2022-11-14T12:23:43,10734,11.837667,7.3,0
60929,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,2,2022-11-14T12:23:23,120,32.070725,8.0,0
186271,from+russia+with+love+1963,2,2022-11-14T12:24:40,657,12.536729,6.9,0
117461,the+matrix+1999,2,2022-11-14T12:23:21,603,33.366332,7.9,0
382111,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,1,2022-11-14T12:24,120,32.070725,8.0,0
411908,naked+1993,2,2022-11-14T12:23:22,21450,8.665198,7.5,0
639654,kikis+delivery+service+1989,2,2022-11-14T12:24:09,16859,12.220581,7.6,0
711804,the+best+exotic+marigold+hotel+2011,2,2022-11-14T12:23:39,74534,9.23046,6.9,0
273907,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,1,2022-11-14T12:24:02,120,32.070725,8.0,0
547973,sleeping+with+the+enemy+1991,2,2022-11-14T12:23:19,7442,8.560694,6.1,0
208213,mr.+nobody+2009,2,2022-11-14T12:23:24,31011,11.817059,7.9,0
247468,inception+2010,2,2022-11-14T12:23:14,27205,29.108149,8.1,0
702681,mishima+a+life+in+four+chapters+1985,2,2022-11-14T12:23:22,27064,8.591834,7.7,0
250831,the+matrix+1999,2,2022-11-14T12:24:51,603,33.366332,7.9,0
684968,lilo++stitch+2002,2,2022-11-14T12:24:09,11544,18.469238,7.1,0
635129,the+adventures+of+priscilla_+queen+of+the+desert+1994,2,2022-11-14T12:23:50,2759,8.328596,7.2,0
113343,the+matrix+1999,2,2022-11-14T12:24:48,603,33.366332,7.9,0
524241,agora+2009,2,2022-11-14T12:24:15,26428,8.029671,6.9,0
88798,fight+club+1999,2,2022-11-14T12:23:45,550,63.869599,8.3,0
71929,interstellar+2014,2,2022-11-14T12:24:34,157336,32.213481,8.1,0
696160,the+godfather+1972,2,2022-11-14T12:23:33,238,41.109264,8.5,0
477728,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,2,2022-11-14T12:24:46,120,32.070725,8.0,0
350557,fight+club+1999,2,2022-11-14T12:23:35,550,63.869599,8.3,0
320583,the+amazing+spider-man+2+2014,2,2022-11-14T12:23:42,102382,26.23687,6.5,0
357068,meet+john+doe+1941,2,2022-11-14T12:23:44,32574,10.750619,7.3,0
77346,each+dawn+i+die+1939,1,2022-11-14T12:24:06,36342,2.037482,7.2,0
414797,hairspray+2007,2,2022-11-14T12:24:34,2976,7.768045,6.5,0
428438,uncertainty+2009,2,2022-11-14T12:24:41,28520,3.089725,5.7,0
156753,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,2,2022-11-14T12:24:32,120,32.070725,8.0,0
142425,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,2,2022-11-14T12:23:30,120,32.070725,8.0,0
197938,interstellar+2014,2,2022-11-14T12:23:16,157336,32.213481,8.1,0
253281,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,2,2022-11-14T12:23:21,120,32.070725,8.0,0
662112,reservoir+dogs+1992,2,2022-11-14T12:24:21,500,12.22034,8.1,0
712583,children+of+men+2006,2,2022-11-14T12:24:12,9693,14.114606,7.4,0
447759,noah+2014,2,2022-11-14T12:24:28,86834,14.924487,5.5,0
76927,fight+club+1999,1,2022-11-14T12:24:08,550,63.869599,8.3,0
491201,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,2,2022-11-14T12:23:50,120,32.070725,8.0,0
239823,interstellar+2014,2,2022-11-14T12:24:20,157336,32.213481,8.1,0
245012,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,2,2022-11-14T12:24:48,120,32.070725,8.0,0
454940,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,2,2022-11-14T12:24:41,120,32.070725,8.0,0
34920,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,3,2022-11-14T12:23:41,120,32.070725,8.0,0
444846,goyas+ghosts+2006,2,2022-11-14T12:23:22,11515,5.91265,6.6,0
645505,rosemarys+baby+1968,2,2022-11-14T12:24:22,805,11.504558,7.5,0
613940,infernal+affairs+2002,2,2022-11-14T12:24:49,10775,10.363082,7.7,0
