userid,movieid,count,time,tmdb_id,popularity,vote_average,flag
431017,the+matrix+1999,1,2022-11-27T20:48:10,603,33.366332,7.9,0
394104,gone+girl+2014,1,2022-11-27T20:48:37,210577,154.801009,7.9,0
377708,leon+the+professional+1994,1,2022-11-27T20:48:45,101,20.477329,8.2,0
694809,the+guardian+2006,1,2022-11-27T20:48:07,4643,10.031817,6.8,0
333873,body+double+1984,1,2022-11-27T20:48:08,11507,9.836894,6.4,0
837577,thor+the+dark+world+2013,1,2022-11-27T20:48:30,76338,34.905447,6.8,0
602040,fight+club+1999,1,2022-11-27T20:48:25,550,63.869599,8.3,0
470725,monsters_+inc.+2001,1,2022-11-27T20:48:24,585,26.419962,7.5,0
348582,interstellar+2014,1,2022-11-27T20:48:13,157336,32.213481,8.1,0
353274,kikis+delivery+service+1989,1,2022-11-27T20:48:30,16859,12.220581,7.6,0
551024,one+flew+over+the+cuckoos+nest+1975,1,2022-11-27T20:48:08,510,35.529554,8.3,0
532218,ink+2009,1,2022-11-27T20:48:29,24869,5.124589,6.5,0
816127,chappie+2015,1,2022-11-27T20:48:23,198184,30.206365,6.6,0
774527,the+hairdressers+husband+1990,1,2022-11-27T20:48:33,11796,4.050762,7.2,0
392897,harry+potter+and+the+half-blood+prince+2009,1,2022-11-27T20:48:22,767,19.083723,7.4,0
297596,fight+club+1999,1,2022-11-27T20:48:21,550,63.869599,8.3,0
777292,guardians+of+the+galaxy+2014,1,2022-11-27T20:48:37,118340,53.291601,7.9,0
613476,predator+1987,1,2022-11-27T20:48:44,106,18.495694,7.3,0
541062,avatar+2009,1,2022-11-27T20:48:48,19995,185.070892,7.2,0
413817,sexual+predator+2001,1,2022-11-27T20:48:27,65364,4.775734,5.3,0
57914,saving+private+ryan+1998,1,2022-11-27T20:48:38,857,21.758054,7.9,0
144746,the+tic+code+2000,1,2022-11-27T20:48:34,274868,0.938948,1.0,0
230233,chappie+2015,1,2022-11-27T20:48:15,198184,30.206365,6.6,0
373134,interstellar+2014,1,2022-11-27T20:48:13,157336,32.213481,8.1,0
361508,pacific+rim+2013,1,2022-11-27T20:48:32,68726,33.949359,6.7,0
173200,whiplash+2014,1,2022-11-27T20:48:33,244786,64.29999,8.3,0
708691,the+dark+knight+2008,1,2022-11-27T20:48:09,155,123.167259,8.3,0
668204,nashville+1975,1,2022-11-27T20:48:14,3121,9.042678,7.2,0
613648,kronks+new+groove+2005,1,2022-11-27T20:48:25,13417,7.680092,6.0,0
66835,troy+2004,1,2022-11-27T20:48:22,652,15.387275,6.9,0
707425,the+great+debaters+2007,1,2022-11-27T20:48:25,14047,8.735448,6.9,0
832672,kill+bill+vol.+1+2003,1,2022-11-27T20:48:30,24,25.261865,7.7,0
636620,the+dark+knight+2008,1,2022-11-27T20:48:18,155,123.167259,8.3,0
171108,iron+man+2+2010,1,2022-11-27T20:48:32,10138,19.083344,6.6,0
417387,varsity+blues+1999,1,2022-11-27T20:48:24,14709,9.162643,6.0,0
501036,howls+moving+castle+2004,1,2022-11-27T20:48:33,4935,16.136048,8.2,0
311111,bolt+2008,1,2022-11-27T20:48:11,13053,15.580915,6.3,0
182364,howls+moving+castle+2004,1,2022-11-27T20:48:27,4935,16.136048,8.2,0
547653,toy+story+3+2010,1,2022-11-27T20:48:22,10193,16.96647,7.6,0
783429,saving+private+ryan+1998,1,2022-11-27T20:48:42,857,21.758054,7.9,0
644915,the+lord+of+the+rings+the+return+of+the+king+2003,1,2022-11-27T20:48:26,122,29.324358,8.1,0
835090,ice+age+2002,1,2022-11-27T20:48:18,425,17.328902,7.1,0
282375,big+hero+6+2014,1,2022-11-27T20:48:32,177572,213.849907,7.8,0
153212,big+hero+6+2014,1,2022-11-27T20:48:35,177572,213.849907,7.8,0
572540,do+not+disturb+1965,1,2022-11-27T20:48:44,45256,0.868796,5.9,0
33148,big+hero+6+2014,1,2022-11-27T20:48:41,177572,213.849907,7.8,0
682145,the+swindle+1997,1,2022-11-27T20:48:27,64559,0.760098,6.4,0
740761,hero+2002,1,2022-11-27T20:48:29,79,9.861765,7.3,0
438818,the+equalizer+2014,1,2022-11-27T20:48:18,156022,17.618057,7.1,0
899,harry+potter+and+the+chamber+of+secrets+2002,1,2022-11-27T20:48:43,672,29.741452,7.4,0
603125,outrage+beyond+2012,1,2022-11-27T20:48:18,121828,3.433531,7.1,0
540081,where+a+good+man+goes+1999,1,2022-11-27T20:48:45,58570,0.050215,0.0,0
372253,harry+potter+and+the+deathly+hallows+part+1+2010,1,2022-11-27T20:48:47,12444,23.300362,7.5,0
331395,one+flew+over+the+cuckoos+nest+1975,1,2022-11-27T20:48:28,510,35.529554,8.3,0
861,the+shape+of+things+to+come+1979,1,2022-11-27T20:48:44,41415,0.557096,4.5,0
601383,batman+begins+2005,1,2022-11-27T20:48:35,272,28.505341,7.5,0
358604,dampfnudelblues+2013,1,2022-11-27T20:48:20,209232,1.406317,6.4,0
452581,ridicule+1996,1,2022-11-27T20:48:17,12709,10.879283,7.4,0
272021,the+lord+of+the+rings+the+two+towers+2002,1,2022-11-27T20:48:09,121,29.423537,8.0,0
243689,a+fistful+of+dollars+1964,1,2022-11-27T20:48:38,391,12.429704,7.6,0
585514,once+upon+a+time+in+america+1984,1,2022-11-27T20:48:42,311,32.182851,8.3,0
540443,the+matrix+1999,1,2022-11-27T20:48:22,603,33.366332,7.9,0
429107,interstellar+2014,1,2022-11-27T20:48:38,157336,32.213481,8.1,0
38651,harry+potter+and+the+prisoner+of+azkaban+2004,1,2022-11-27T20:48:14,673,28.460276,7.7,0
158177,the+gay+bed+and+breakfast+of+terror+2007,1,2022-11-27T20:48:29,94583,0.250743,3.6,0
659639,irreversible+2002,1,2022-11-27T20:48:20,979,16.76382,7.1,0
435779,harry+potter+and+the+chamber+of+secrets+2002,1,2022-11-27T20:48:47,672,29.741452,7.4,0
21830,big+hero+6+2014,1,2022-11-27T20:48:14,177572,213.849907,7.8,0
128460,one+flew+over+the+cuckoos+nest+1975,1,2022-11-27T20:48:16,510,35.529554,8.3,0
332707,spirited+away+2001,1,2022-11-27T20:48:46,129,41.048867,8.3,0
806694,nostalgia+1983,1,2022-11-27T20:48:44,1394,4.235709,7.5,0
732454,the+dark+knight+2008,1,2022-11-27T20:48:27,155,123.167259,8.3,0
832573,whiplash+2014,1,2022-11-27T20:48:33,244786,64.29999,8.3,0
63371,sleeping+beauty+1959,1,2022-11-27T20:48:37,10882,14.276169,6.8,0
249041,milky+way+2007,1,2022-11-27T20:48:32,125161,0.074209,2.5,0
258145,cantinflas+2014,1,2022-11-27T20:48:37,261101,1.706992,5.5,0
321572,sal_+or+the+120+days+of+sodom+1975,1,2022-11-27T20:48:44,5336,7.705479,6.4,0
792409,big+hero+6+2014,1,2022-11-27T20:48:30,177572,213.849907,7.8,0
328471,the+lord+of+the+rings+the+two+towers+2002,1,2022-11-27T20:48:34,121,29.423537,8.0,0
194122,interstellar+2014,1,2022-11-27T20:48:43,157336,32.213481,8.1,0
643685,inception+2010,1,2022-11-27T20:48:36,27205,29.108149,8.1,0
392452,kill+bill+vol.+1+2003,1,2022-11-27T20:48:40,24,25.261865,7.7,0
330098,the+imitation+game+2014,1,2022-11-27T20:48:10,205596,31.59594,8.0,0
226258,brave+2012,1,2022-11-27T20:48:20,62177,15.876341,6.7,0
625559,fight+club+1999,1,2022-11-27T20:48:45,550,63.869599,8.3,0
423780,batman+begins+2005,1,2022-11-27T20:48:10,272,28.505341,7.5,0
213602,someone+elses+america+1995,1,2022-11-27T20:48:19,124633,0.099602,0.0,0
632106,chinatown+1974,1,2022-11-27T20:48:07,829,12.29227,7.9,0
276532,the+shawshank+redemption+1994,1,2022-11-27T20:48:07,278,51.645403,8.5,0
566580,shutter+island+2010,1,2022-11-27T20:48:11,11324,15.813629,7.8,0
233903,inception+2010,1,2022-11-27T20:48:22,27205,29.108149,8.1,0
130851,pulp+fiction+1994,1,2022-11-27T20:48:42,680,140.950236,8.3,0
499286,american+pie+1999,1,2022-11-27T20:48:36,2105,18.344227,6.4,0
253882,bertie+and+elizabeth+2002,1,2022-11-27T20:48:10,65035,1.056596,4.8,0
11743,john+adams+2008,1,2022-11-27T20:48:07,118309,2.794764,7.6,0
403302,finding+nemo+2003,1,2022-11-27T20:48:34,12,25.497794,7.6,0
309989,toy+story+2+1999,1,2022-11-27T20:48:30,863,17.547693,7.3,0
97773,the+boy+in+the+striped+pyjamas+2008,1,2022-11-27T20:48:36,14574,8.912738,7.7,0
643171,unconquered+1947,1,2022-11-27T20:48:44,72241,1.637557,5.1,0
359658,iron+man+2008,1,2022-11-27T20:48:20,1726,22.073099,7.4,0
