userid,tmdb_id,movieid,popularity,vote_average,rating
150074,287816,camera+obscura+2000,0.037259,3.0,4
7203,100812,the+laughing+woman+1969,0.107235,8.3,2
156113,12437,underworld+rise+of+the+lycans+2009,11.654958,6.2,3
39803,279784,soap+girl+2002,0.003438,0.0,3
309195,38274,seven+girlfriends+1999,0.637771,6.0,4
320700,1894,star+wars+episode+ii+-+attack+of+the+clones+2002,14.072511,6.4,3
119293,133701,tears+of+steel+2012,3.611436,5.3,3
165207,204768,les+invincibles+2013,1.225165,5.2,4
150735,131507,scandali+nudi+1968,0.300359,0.0,4
73509,90956,the+feathered+serpent+1948,0.6921,7.8,5
325605,891,all+the+presidents+men+1976,12.421754,7.6,4
376561,228150,fury+2014,36.713807,7.4,4
437050,58767,sniper+reloaded+2011,5.249191,5.2,3
128625,19067,the+duellists+1977,5.82556,7.1,5
302246,49051,the+hobbit+an+unexpected+journey+2012,23.253089,7.0,3
33445,10681,walle+2008,16.088366,7.8,4
36183,2048,i_+robot+2004,14.43075,6.7,4
441147,15764,sophies+choice+1982,15.417202,7.4,5
48954,11091,riding+in+cars+with+boys+2001,4.556123,6.5,4
150187,78206,chicken+with+plums+2011,3.78207,6.8,3
313859,288298,victor+seastrom+1981,3.8e-05,0.0,2
75774,136466,sparrows+dance+2013,0.742942,7.5,3
278054,89,indiana+jones+and+the+last+crusade+1989,14.788987,7.6,3
660,70805,sunday+1997,0.29962,6.3,4
307306,10728,faust+1926,4.021486,7.8,4
90186,18193,head+1968,2.214231,6.4,5
2725,18150,planet+b-boy+2008,0.156058,6.4,3
99321,239571,the+best+of+me+2014,8.196975,7.2,4
419784,10997,farewell+my+concubine+1993,4.875827,7.8,5
349255,229,bride+of+frankenstein+1935,7.000417,7.4,4
230823,608,men+in+black+ii+2002,16.775716,6.1,3
448056,27367,mrs.+miniver+1942,3.306745,6.7,4
190778,251657,blue+week+1954,0.409689,6.0,4
156669,35138,little+big+soldier+2010,4.691882,6.5,3
349393,9772,air+force+one+1997,12.173291,6.2,4
86798,13783,breaker+morant+1980,6.313297,7.2,4
94308,61296,stavisky+1974,0.398914,6.3,4
186058,37165,the+truman+show+1998,13.155901,7.8,3
258706,78789,tomorrow+we+move+2004,0.270612,4.3,3
406629,11876,the+horseman+on+the+roof+1995,1.690768,6.7,5
276380,12444,harry+potter+and+the+deathly+hallows+part+1+2010,23.300362,7.5,5
26086,43461,odd+man+out+1947,3.017513,7.3,4
40711,12429,ponyo+2008,8.470945,7.5,3
249630,12445,harry+potter+and+the+deathly+hallows+part+2+2011,24.990737,7.9,3
429077,11686,love+and+death+1975,5.165666,7.5,4
171176,4169,breach+2007,6.885359,6.5,4
227123,9388,thank+you+for+smoking+2005,9.369527,7.1,4
64049,62,2001+a+space+odyssey+1968,22.494622,7.9,4
298132,11324,shutter+island+2010,15.813629,7.8,4
409363,429,the+good_+the+bad+and+the+ugly+1966,16.788787,8.1,3
327690,158999,blackfish+2013,5.495138,7.9,4
214313,127866,boy+eating+the+birds+food+2012,0.440456,5.5,4
191384,56428,beyond+bedlam+1994,0.426952,4.0,4
193448,38757,tangled+2010,14.684761,7.4,4
244520,411,the+chronicles+of+narnia+the+lion_+the+witch+and+the+wardrobe+2005,18.13542,6.7,3
169306,425,ice+age+2002,17.328902,7.1,4
345103,106,predator+1987,18.495694,7.3,4
