movieid,genres,belongs_to_collection,popularity,vote_average
camera+obscura+2000,0,0,0.037259,3.0
the+laughing+woman+1969,10749,0,0.107235,8.3
underworld+rise+of+the+lycans+2009,14,1,11.654958,6.2
soap+girl+2002,0,0,0.003438,0.0
seven+girlfriends+1999,35,0,0.637771,6.0
star+wars+episode+ii+-+attack+of+the+clones+2002,12,1,14.072511,6.4
tears+of+steel+2012,878,0,3.611436,5.3
les+invincibles+2013,35,0,1.225165,5.2
scandali+nudi+1968,0,0,0.300359,0.0
the+feathered+serpent+1948,35,1,0.6921,7.8
all+the+presidents+men+1976,18,0,12.421754,7.6
fury+2014,10752,0,36.713807,7.4
sniper+reloaded+2011,10752,1,5.249191,5.2
the+duellists+1977,18,0,5.82556,7.1
the+hobbit+an+unexpected+journey+2012,12,1,23.253089,7.0
walle+2008,16,0,16.088366,7.8
i_+robot+2004,28,0,14.43075,6.7
sophies+choice+1982,18,0,15.417202,7.4
riding+in+cars+with+boys+2001,35,0,4.556123,6.5
chicken+with+plums+2011,35,0,3.78207,6.8
victor+seastrom+1981,0,0,3.8e-05,0.0
sparrows+dance+2013,18,0,0.742942,7.5
indiana+jones+and+the+last+crusade+1989,12,1,14.788987,7.6
sunday+1997,18,0,0.29962,6.3
faust+1926,18,0,4.021486,7.8
head+1968,35,0,2.214231,6.4
planet+b-boy+2008,99,0,0.156058,6.4
the+best+of+me+2014,18,0,8.196975,7.2
farewell+my+concubine+1993,18,0,4.875827,7.8
bride+of+frankenstein+1935,27,1,7.000417,7.4
men+in+black+ii+2002,28,1,16.775716,6.1
mrs.+miniver+1942,18,0,3.306745,6.7
blue+week+1954,18,0,0.409689,6.0
little+big+soldier+2010,28,0,4.691882,6.5
air+force+one+1997,28,0,12.173291,6.2
breaker+morant+1980,18,0,6.313297,7.2
stavisky+1974,18,0,0.398914,6.3
the+truman+show+1998,35,0,13.155901,7.8
tomorrow+we+move+2004,35,0,0.270612,4.3
the+horseman+on+the+roof+1995,10752,0,1.690768,6.7
harry+potter+and+the+deathly+hallows+part+1+2010,12,1,23.300362,7.5
odd+man+out+1947,18,0,3.017513,7.3
ponyo+2008,16,0,8.470945,7.5
harry+potter+and+the+deathly+hallows+part+2+2011,10751,1,24.990737,7.9
love+and+death+1975,36,0,5.165666,7.5
breach+2007,18,0,6.885359,6.5
thank+you+for+smoking+2005,35,0,9.369527,7.1
2001+a+space+odyssey+1968,878,1,22.494622,7.9
shutter+island+2010,18,0,15.813629,7.8
the+good_+the+bad+and+the+ugly+1966,37,1,16.788787,8.1
blackfish+2013,99,0,5.495138,7.9
boy+eating+the+birds+food+2012,18,0,0.440456,5.5
beyond+bedlam+1994,27,0,0.426952,4.0
tangled+2010,16,1,14.684761,7.4
the+chronicles+of+narnia+the+lion_+the+witch+and+the+wardrobe+2005,12,1,18.13542,6.7
ice+age+2002,16,1,17.328902,7.1
predator+1987,878,1,18.495694,7.3
west+of+zanzibar+1928,18,0,0.722511,6.2
all+about+my+mother+1999,35,0,10.000915,7.4
five+times+two+2004,18,0,4.545971,6.0
the+magic+of+mlis+1997,0,0,0.072361,7.5
sixteen+candles+1984,35,0,6.683723,6.9
pushing+tin+1999,35,0,7.073467,5.7
amistad+1997,18,0,2.263584,6.8
the+man+who+captured+eichmann+1996,10770,0,1.171478,4.3
it+follows+2015,27,0,20.359336,6.6
black+hawk+down+2001,28,0,10.064446,7.2
good+neighbours+2011,53,0,8.90645,6.0
princess+yang+kwei+fei+1955,10749,0,1.318545,6.7
a+trip+to+the+moon+1902,12,0,6.321801,7.9
honest+man+the+life+of+r.+budd+dwyer+2010,99,0,0.041326,6.0
chronicle+of+a+summer+1961,99,0,0.405373,6.5
grace+of+monaco+2014,10749,0,6.773278,5.8
ninas+heavenly+delights+2006,10749,0,0.770878,6.7
mister+johnson+1990,18,0,5.309937,5.8
rocky+ii+1979,18,1,11.789813,6.9
spirited+away+2001,14,0,41.048867,8.3
my+stars+2008,35,0,1.054069,4.8
taxi+1998,28,1,7.668149,6.5
star+wars+episode+iii+-+revenge+of+the+sith+2005,878,1,13.165421,7.1
the+science+of+sleep+2006,35,0,10.603991,6.8
pi+1998,9648,0,10.621362,7.1
you+cant+take+it+with+you+1938,35,0,4.370592,7.2
dances+with+wolves+1990,12,0,11.654349,7.6
lupin+the+third+the+castle+of+cagliostro+1979,12,1,7.932795,7.5
genevieve+1953,35,0,1.152132,6.3
the+aristocrats+2005,35,0,3.898364,6.0
los+olvidados+1950,80,0,3.563355,7.9
bolt+2008,16,0,15.580915,6.3
manny+2014,99,0,2.711057,6.4
nausica+of+the+valley+of+the+wind+1984,12,0,11.267366,7.7
payback+1999,18,0,9.112008,6.7
the+hawaiians+1970,18,0,0.729092,5.9
waydowntown+2000,35,0,0.506962,6.0
along+the+coast+1958,99,0,0.382091,9.0
36th+precinct+2004,80,0,12.727685,6.7
marvel+one-shot+item+47+2012,878,0,5.569008,6.6
the+godfather+1972,18,1,41.109264,8.5
chaplin+1992,18,0,8.243107,7.5
lawman+1971,28,0,1.739038,6.5
dead+silent+1999,53,0,0.259613,4.1
