userid,age,occupation,gender
150074,32,sales/marketing,M
7203,33,executive/managerial,M
156113,33,college/grad student,M
39803,28,college/grad student,M
309195,30,college/grad student,M
320700,32,college/grad student,M
119293,33,academic/educator,M
165207,30,sales/marketing,M
150735,26,college/grad student,M
73509,73,retired,M
325605,34,self-employed,M
376561,29,college/grad student,M
437050,32,academic/educator,F
128625,19,scientist,M
302246,34,self-employed,M
33445,25,college/grad student,M
36183,28,scientist,M
441147,27,college/grad student,M
48954,32,college/grad student,M
150187,29,college/grad student,M
313859,25,self-employed,M
75774,27,academic/educator,M
278054,27,college/grad student,M
660,33,executive/managerial,M
307306,29,homemaker,M
90186,37,clerical/admin,M
2725,34,retired,F
99321,29,executive/managerial,M
419784,28,academic/educator,M
349255,30,college/grad student,M
230823,29,executive/managerial,M
448056,29,executive/managerial,M
190778,32,executive/managerial,M
156669,31,other or not specified,F
349393,18,homemaker,F
86798,31,college/grad student,M
94308,25,college/grad student,M
186058,42,sales/marketing,M
258706,18,self-employed,F
406629,33,self-employed,M
276380,32,scientist,M
26086,31,scientist,M
40711,18,sales/marketing,F
249630,31,executive/managerial,M
429077,18,K-12 student,M
171176,31,clerical/admin,M
227123,26,sales/marketing,M
64049,30,homemaker,M
298132,32,college/grad student,F
409363,19,other or not specified,F
327690,30,self-employed,M
214313,19,college/grad student,M
191384,18,scientist,M
193448,21,K-12 student,F
244520,32,sales/marketing,M
169306,27,academic/educator,M
345103,33,sales/marketing,M
276395,34,customer service,M
139854,30,college/grad student,M
245542,19,sales/marketing,M
270109,27,artist,F
181274,33,executive/managerial,M
256940,29,self-employed,M
375622,33,homemaker,M
354114,24,executive/managerial,M
337281,34,executive/managerial,M
418130,31,college/grad student,M
247188,28,executive/managerial,M
242031,34,college/grad student,M
389690,25,college/grad student,M
332658,33,college/grad student,M
225428,29,executive/managerial,M
446056,27,college/grad student,F
156942,29,technician/engineer,M
8515,31,programmer,M
98380,29,executive/managerial,M
284329,26,college/grad student,M
240759,25,executive/managerial,M
425734,26,self-employed,F
66914,26,executive/managerial,M
311853,29,scientist,M
420371,29,other or not specified,M
432951,32,executive/managerial,M
295299,23,scientist,M
106367,25,scientist,M
150151,35,artist,M
231166,34,scientist,M
163724,74,retired,M
378912,42,academic/educator,F
82514,30,artist,M
190574,28,executive/managerial,M
371786,27,college/grad student,M
133602,33,executive/managerial,M
48990,26,executive/managerial,M
133790,89,retired,F
404954,21,scientist,M
146920,28,sales/marketing,M
11323,31,scientist,M
148394,31,college/grad student,M
92154,8,K-12 student,F
282925,26,homemaker,F
60538,27,college/grad student,M
426726,27,executive/managerial,M
263349,27,other or not specified,M
33936,34,sales/marketing,M
216245,29,college/grad student,M
147227,28,other or not specified,M
263763,32,sales/marketing,M
161388,25,sales/marketing,M
199377,32,artist,M
360115,34,executive/managerial,M
321098,29,academic/educator,M
212891,32,college/grad student,M
269718,33,college/grad student,F
411335,30,sales/marketing,M
178848,25,scientist,M
407982,38,college/grad student,M
121648,29,executive/managerial,M
146811,33,other or not specified,M
216255,33,college/grad student,M
180837,31,scientist,M
195054,65,retired,F
3427,26,college/grad student,F
38932,26,clerical/admin,F
152402,25,other or not specified,M
84863,34,executive/managerial,M
331251,34,self-employed,M
374236,20,sales/marketing,M
48087,26,academic/educator,F
143882,27,programmer,F
343394,27,executive/managerial,M
347596,34,college/grad student,M
123989,32,lawyer,M
146929,32,self-employed,M
267471,27,college/grad student,M
176184,32,college/grad student,M
89134,30,college/grad student,M
37296,34,sales/marketing,M
183974,32,academic/educator,F
376072,31,college/grad student,M
21529,30,college/grad student,M
195613,16,K-12 student,M
21775,30,college/grad student,M
131240,26,college/grad student,M
422618,23,college/grad student,M
114134,28,college/grad student,F
2243,31,self-employed,F
412515,33,college/grad student,M
49517,29,academic/educator,M
74194,37,other or not specified,F
302511,29,sales/marketing,M
25191,32,executive/managerial,M
211976,30,scientist,F
266653,31,scientist,M
340743,90,other or not specified,F
7684,41,college/grad student,M
28614,29,executive/managerial,F
220353,42,executive/managerial,M
264961,22,college/grad student,M
210409,25,executive/managerial,M
244344,34,scientist,F
38561,27,college/grad student,M
77287,25,sales/marketing,M
405443,31,executive/managerial,M
412475,28,sales/marketing,M
117284,27,college/grad student,M
119013,33,sales/marketing,M
227462,26,self-employed,M
402734,34,college/grad student,M
129855,30,academic/educator,F
97633,13,scientist,F
229077,32,scientist,M
208665,33,scientist,M
133226,34,other or not specified,M
181219,33,college/grad student,M
208954,33,college/grad student,M
394029,31,scientist,M
292288,29,college/grad student,M
22999,22,K-12 student,M
37493,25,college/grad student,M
441399,30,scientist,M
313919,25,executive/managerial,M
385561,27,other or not specified,F
60291,25,college/grad student,M
212921,32,scientist,M
258326,27,other or not specified,M
122882,28,artist,M
415317,30,college/grad student,M
367798,27,clerical/admin,M
270501,83,sales/marketing,M
404080,25,college/grad student,M
52341,32,college/grad student,M
291406,26,scientist,F
341781,34,scientist,M
253729,29,sales/marketing,M
422660,33,self-employed,M
51944,29,college/grad student,F
192365,31,college/grad student,M
333336,19,sales/marketing,M
335863,33,sales/marketing,M
296925,27,college/grad student,M
331298,31,executive/managerial,M
68548,22,sales/marketing,M
165115,34,college/grad student,M
106598,80,academic/educator,M
81874,26,college/grad student,M
133450,29,academic/educator,M
388402,32,scientist,M
6327,29,college/grad student,M
270561,29,executive/managerial,M
368834,39,executive/managerial,M
93314,27,scientist,M
444677,74,executive/managerial,M
229487,29,self-employed,M
340045,18,K-12 student,M
388307,29,executive/managerial,M
395652,32,clerical/admin,M
361487,28,college/grad student,M
246202,35,college/grad student,M
35491,32,sales/marketing,M
351829,23,sales/marketing,M
246124,31,college/grad student,M
225624,26,sales/marketing,M
417290,28,executive/managerial,M
67989,29,other or not specified,M
105298,29,academic/educator,F
78244,27,scientist,M
305082,32,executive/managerial,M
252503,29,retired,M
390640,27,tradesman/craftsman,M
71147,22,K-12 student,M
57945,30,scientist,F
383383,28,college/grad student,F
238729,72,retired,F
248882,26,other or not specified,F
242365,28,other or not specified,M
415054,34,scientist,M
142140,27,artist,M
7360,39,academic/educator,M
121752,28,executive/managerial,F
226515,20,scientist,M
102762,33,executive/managerial,M
270165,30,college/grad student,M
101730,28,college/grad student,M
113883,27,executive/managerial,M
343962,28,other or not specified,F
10005,26,other or not specified,M
185665,63,academic/educator,M
297821,28,executive/managerial,M
228780,26,college/grad student,M
92642,21,sales/marketing,M
226273,25,scientist,F
268203,28,executive/managerial,F
141579,34,college/grad student,F
201494,26,other or not specified,F
160273,24,college/grad student,F
376590,32,college/grad student,F
402331,18,K-12 student,M
202220,32,executive/managerial,M
39587,20,college/grad student,M
337498,34,college/grad student,M
445522,75,executive/managerial,F
41599,33,scientist,M
446683,29,college/grad student,M
159550,29,other or not specified,M
32765,25,academic/educator,M
385984,31,sales/marketing,M
364448,25,technician/engineer,M
401329,33,executive/managerial,M
315095,30,sales/marketing,M
59390,75,scientist,F
72301,28,other or not specified,M
79697,25,technician/engineer,M
119320,25,self-employed,F
71120,32,other or not specified,M
368899,23,sales/marketing,M
285188,28,academic/educator,M
432941,27,artist,M
72083,28,executive/managerial,M
101365,32,college/grad student,M
135385,30,college/grad student,M
437284,33,sales/marketing,M
116216,31,college/grad student,F
60472,30,college/grad student,M
271038,30,scientist,M
354741,27,sales/marketing,M
132902,21,other or not specified,M
63380,32,sales/marketing,M
141923,33,artist,M
121900,33,academic/educator,M
27971,40,programmer,M
411166,34,other or not specified,M
241627,33,self-employed,M
367702,25,executive/managerial,M
